,city,id,links,name,phone_numbers,state,street_address,zip_code
11,ANCHORAGE,7105,['http://www.wbu.edu/colleges-in-anchorage/'],WAYLAND BAPTIST UNIVERSITY,['907-333-2277'],AK,7801 E. 32ND AVENUE,99504
12,NORMAL,9234,['http://www.aamu.edu/'],ALABAMA A&M; UNIVERSITY,['256-372-5635'],AL,4900 MERIDIAN ST,35762
13,ATHENS,9048,['http://www.athens.edu/'],ATHENS STATE UNIVERSITY,['256-233-6540'],AL,300 NORTH BEATY STREET,35611
14,REDSTONE ARSENAL,7200,['http://www.ccis.edu/nationwide/redstone/'],COLUMBIA COLLEGE,['256-881-6181'],AL,"ARMY EDUCATION CENTER , BLDG 3222",35898
15,MONTGOMERY,8036,['http://www.faulkner.edu/'],FAULKNER UNIVERSITY,['334-386-7247'],AL,5345 ATLANTA HIGHWAY,36109
16,HUNTSVILLE,8321,['http://www.oakwood.edu/'],OAKWOOD COLLEGE,['256-726-7134'],AL,7000 ADVENTIST BOULEVARD,35896
17,ANNISTON,8812,[],"SHARP-DEAN SCHOOL OF CONTINUING STUDIES, INC",['256-238-0466'],AL,1910 NOBLE STREET #2101,36201
18,MOBILE,8605,['http://www.shc.edu/'],SPRING HILL COLLEGE,['251-380-3069'],AL,4000 DAUPHIN STREET,36608
19,BIRMINGHAM,8430,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['205-453-6329'],AL,"3570 GRANDVIEW PARKWAY, STE 200",35243
20,HUNTSVILLE,8693,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['256-665-9729'],AL,"4955 CORPORATE DRIVE, SUITE 200",35805
21,HUNTSVILLE,9462,['http://www.uah.edu/pcs/testing-certification-services'],THE UNIVERSITY OF ALABAMA IN HUNTSVILLE,['(256) 824-6373'],AL,301 SPARKMAN DR. NW,35899
22,DOTHAN,9402,['http://www.troy.edu/'],TROY UNIVERSITY,['334-983-6556 X1286'],AL,501 UNIVERSITY DRIVE,36303
23,MONTGOMERY,8627,['http://www.troy.edu/'],TROY UNIVERSITY,['334-241-9532'],AL,231 MONTGOMERY STREET,36104
24,FORT RUCKER,7187,['http://www.troy.edu/'],TROY UNIVERSITY,['334-598-2443'],AL,4502 KINGSMAN STREET,36362
25,TROY,9344,['http://www.troy.edu/'],TROY UNIVERSITY,['334-808-6219'],AL,100 UNIVERSITY PARK,36082
26,TUSCALOOSA,9348,['http://www.ua.edu/'],UNIVERSITY OF ALABAMA,['205-348-6000'],AL,"205 STUDENT SERVICES CENTER, 801 CAMPUS DRIVE",35487
27,BIRMINGHAM,9948,['http://www.uab.edu/testing/'],UNIVERSITY OF ALABAMA AT BIRMINGHAM,['205-934-3704'],AL,"936 BUILDING, 170 2ND AVENUE SOUTH",35294
28,FLORENCE,8619,['http://www.una.edu/'],UNIVERSITY OF NORTH ALABAMA,['(256)765-4773'],AL,1 HARRISON PLAZA,35634
29,MAXWELL AFB,7354,['http://www.wbu.edu/'],WAYLAND BAPTIST UNIVERSITY,['334-953-3637'],AL,"20 NORTH PINE STREET, BUILDING 501",36112
30,JACKSONVILLE,7125,['http://www.asub.edu/academic_programs/support/registrar/'],ARKANSAS STATE UNIVERSITY - LRAFB CENTER,['(501) 988-4151'],AR,"1490 VANDENBERG BLVD, SUITE 115",72099
31,RUSSELLVILLE,8587,['http://www.atu.edu/'],ARKANSAS TECHNICAL UNIVERSITY,['479-968-0302'],AR,"UNIVERSITY TESTING, 1605 COLISEUM DRIVE, DOC BRYAN SUITE 171",72801
32,ARKADELPHIA,8819,['http://www.hsu.edu/'],HENDERSON STATE UNIVERSITY,['870-230-5470'],AR,"1100 HENDERSON STREET, PO BOX 7650",71923
33,SILOAM SPRINGS,8066,['http://www.jbu.edu/'],JOHN BROWN UNIVERSITY,['479-524-7103'],AR,2000 WEST UNIVERSITY,72761
34,FORT SMITH,8313,['http://www.jbu.edu/'],JOHN BROWN UNIVERSITY,['(479) 648-0082'],AR,"1401 S. WALDRON ROAD, SUITE 201",72903
35,ROGERS,9667,['http://www.jbu.edu/'],JOHN BROWN UNIVERSITY,['479-631-4665'],AR,"2807 AJAX AVENUE, SUITE 200",72758
36,LITTLE ROCK,8299,['http://www.jbu.edu/'],JOHN BROWN UNIVERSITY - LITTLE ROCK CENTER,['501-771-9000'],AR,"8114 CANTRELL ROAD, SUITE 250",72227
37,HOT SPRINGS,7930,['http://www.npcc.edu/'],NATIONAL PARK COLLEGE,['(501) 760-4376'],AR,101 COLLEGE DRIVE,71913
38,BENTONVILLE,9798,['http://www.nwacc.edu/'],NORTHWEST ARKANSAS COMMUNITY COLLEGE,['(479) 986-4078'],AR,,72712
39,MAGNOLIA,8790,['http://www.saumag.edu/'],SOUTHERN ARKANSAS UNIVERSITY,['870-235-4145'],AR,"100 EAST UNIVERSITY STREET, P.O. BOX 9371",71754
40,LITTLE ROCK,7949,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['501-708-0629'],AR,"10825 FINANCIAL CENTRE PARKWAY, SUITE 400",72211
41,FAYETTEVILLE,8701,['http://test.uark.edu/'],UNIVERSITY OF ARKANSAS,['479-575-3948'],AR,"TESTING SERVICES, 1435 W WALTON ST, 1 UNIVERSITY OF ARKANSAS",72701
42,LITTLE ROCK,9448,['http://www.ualr.edu/testing/'],UNIVERSITY OF ARKANSAS - LITTLE ROCK CAMPUS,['(501) 569-3198'],AR,"2801 S. UNIVERSITY AVENUE, SSC 315",72204
43,CONWAY,7257,['http://www.uca.edu/ubulletin/02/204.html'],UNIVERSITY OF CENTRAL ARKANSAS,['501-450-3209'],AR,"201 DONAGHEY AVENUE, TORREYSON WEST 315",72035
44,TEMPE,9943,['http://www.asu.edu/uts/'],ARIZONA STATE UNIVERSITY,['(480) 965-7146'],AZ,"1130 E UNIVERSITY AVE, SUITE 204",85281
45,YUMA,8475,['http://www.azwestern.edu/'],ARIZONA WESTERN COLLEGE,['928-344-7641'],AZ,2020 SOUTH AVENUE 8 E,85366
46,PHOENIX,9594,['https://www.ashford.edu/'],"ASHFORD UNIVERSITY - PHOENIX, AZ",['(866) 974-5700 X20408'],AZ,2555 E CAMELBACK ROAD SUITE 250,85016
47,DOUGLAS,9345,['http://www.cochise.edu/testing'],COCHISE COLLEGE,['(520) 515-5447'],AZ,4190 WEST HIGHWAY 80,85607
48,FORT HUACHUCA,7202,['http://www.cochise.edu/'],COCHISE COLLEGE,['520-515-5307'],AZ,ARMY EDUCATION CENTER,85613
49,SIERRA VISTA,8143,['http://www.cochise.edu/'],COCHISE COLLEGE,['520-515-5447'],AZ,901 N. COLOMBO AVENUE,85635
50,PHOENIX,7837,['http://www.devry.edu/'],DEVRY UNIVERSITY,['602-749-4544'],AZ,2149 W. DUNLAP AVENUE,85021
51,MESA,9901,['http://www.mc.maricopa.edu/'],MESA COMMUNITY COLLEGE,[],AZ,1833 W. SOUTHERN AVENUE,85202
52,PHOENIX,8589,['http://www.ottawa.edu/'],OTTAWA UNIVERSITY,['(602) 749-5177'],AZ,9414 NORTH 25TH AVENUE,85021
53,TUCSON,9280,['http://www.pima.edu/'],PIMA COMMUNITY COLLEGE,['520-206-6143'],AZ,1255 NORTH STONE AVENUE,85709
54,DAVIS MONTHAN AFB,7152,['http://www.asub.edu'],PIMA COMMUNITY COLLEGE,['(520) 206-4866'],AZ,5355 E. GRANITE STREET,85707
55,SURPRISE,8881,['http://www.riosalado.edu/'],RIO SALADO COMMUNITY COLLEGE - LIFE LONG LEARNING CENTER,['(480) 377-4290'],AZ,12535 W SMOKEY DR,85378
56,LUKE AFB,7153,['http://www.riosalado.edu/'],RIO SALADO COMMUNITY COLLEGE - LUKE AIRFORCE BASE,['(480) 377-4011'],AZ,7383 NORTH LITCHFIELD ROAD,85309
57,TEMPE,9931,['http://www.riosalado.edu/'],RIO SALADO COMMUNITY COLLEGE - TEMPE CAMPUS,['(480) 517-8560'],AZ,2323 WEST 14TH STREET,85281
58,TUCSON,9350,['http://www.arizona.edu/'],UNIVERSITY OF ARIZONA - TESTING CENTER,['(520) 621-7589'],AZ,"220 W. 6TH STREET, ROOM B116",85719
59,TEMPE,8231,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - MAIN CAMPUS,['(480) 804-7600'],AZ,1625 W. FOUNTAINHEAD PARKWAY,85282
60,PHOENIX,9057,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - NORTHWEST LEARNING CENTER,['(480) 804-7600'],AZ,"2550 WEST UNION HILLS DRIVE, SUITE #100",85027
61,PHOENIX,9106,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX- WEST VALLEY LEARNING CENTER,['(480) 804-7600'],AZ,"9520 WEST PALM LANE, SUITE #150",85037
62,TUCSON,8248,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - WILLIAMS CENTRE LEARNING CENTER,['(520) 239-5225'],AZ,300 S CRAYCROFT RD,85711
63,YUMA,8978,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - YUMA LEARNING CENTER,['(928) 210-1472'],AZ,899 E. PLAZA CIRCLE,85365
64,PHOENIX,8214,['http://www.wbu.edu/colleges-in-phoenix/'],WAYLAND BAPTIST UNIVERSITY,['602-279-1011'],AZ,"2702 NORTH 3RD STREET, STE 1050",85004
65,EDWARDS AFB,9204,['http://www.amu.apus.edu'],AMERICAN PUBLIC UNIVERSITY SYSTEM - EDWARDS AFB NTC,['(661) 524-4431'],CA,"140 METHUSA AVE., BLDG 2453",93524
66,CULVER CITY,8704,['http://www.antiochla.edu/'],ANTIOCH UNIVERSITY - LOS ANGELES,['310-578-1080 X206'],CA,400 CORPORATE POINTE,90230
67,SAN DIEGO,9182,['http://www.ashford.edu'],ASHFORD UNIVERSITY - SAN DIEGO,['(866) 974-5700'],CA,8620 SPECTRUM CENTER BLVD,92123
68,AZUSA,7946,['http://www.apu.edu/'],AZUSA PACIFIC UNIVERSITY,['626-815-3849'],CA,"LEARNING ENRICHMENT CENTER, 901 E. ALOSTA AVENUE",91702
69,BARSTOW,9053,['http://www.barstow.cc.edu/'],BARSTOW COMMUNITY COLLEGE,['760-252-2411 X7373'],CA,2700 BARSTOW ROAD,92311
70,FORT IRWIN,7138,['http://www.barstow.cc.edu/'],BARSTOW COMMUNITY COLLEGE - FORT IRWIN CAMPUS,['(760) 380-3905'],CA,,92310
71,PALMDALE,9836,['http://www.brandman.edu'],BRANDMAN UNIVERSITY,['661-267-2001'],CA,"40015 SIERRA HIGHWAY, B160",93550
72,SAN DIEGO,9300,['http://www.brandman.edu/'],BRANDMAN UNIVERSITY,['619-296-8660'],CA,7460 MISSION VALLEY ROAD,92108
73,MONTEREY,9655,['http://www.brandman.edu'],BRANDMAN UNIVERSITY - MONTEREY CAMPUS,"['(831) 647-3738', '(831) 647-3736']",CA,"99 PACIFIC STREET, 375-B",93940
74,MONTEREY,7338,['http://www.brandman.edu/monterey/'],BRANDMAN UNIVERSITY - MONTEREY CAMPUS,"['(831) 647-3738', '(831) 647-3726']",CA,"99 PACIFIC STREET, MONTEREY CAMPUS",93940
75,CARSON,9078,['http://www.csudh.edu/'],CALIFORNIA STATE UNIVERSITY - DOMINGUEZ HILLS,['310-243-3909'],CA,1000 EAST VICTORIA STREET,90747
76,FRESNO,9498,['http://fresnostate.edu/studentaffairs/examination/'],CALIFORNIA STATE UNIVERSITY - FRESNO CAMPUS,[],CA,,93740
77,SAN DIEGO,7188,['http://www.ctcd.edu/'],CENTRAL TEXAS COLLEGE,['800-784-5470'],CA,"NAVY CAMPUS PACIFIC, 1000 ROE STREET, BUILDING 2005",92135
78,SAN DIEGO,7229,['http://www.ctcd.edu/'],CENTRAL TEXAS COLLEGE,['800-784-5470'],CA,"3335 BUCHANAN STREET, BUILDING 152",92136
79,CAMP PENDLETON,7252,['http://military.coastline.edu/'],COASTLINE COMMUNITY COLLEGE,['619-375-8377'],CA,,92055
80,WESTMINSTER,7313,['http://military.coastline.edu/'],COASTLINE COMMUNITY COLLEGE,['714-241-4967'],CA,"5405 GARDEN GROVE BLVD, SUITE 100",92683
81,FOUNTAIN VALLEY,9103,['http://coastline.edu/'],COASTLINE COMMUNITY COLLEGE,['714-241-4924'],CA,11460 WARNER AVENUE,92708
82,SAN DIEGO,7228,[],COASTLINE COMMUNITY COLLEGE,['619-726-3664'],CA,"140 SYLVESTER RD, BLDG 140 RM 103",92106
83,SAN DIEGO,8734,['http://www.coleman.edu/'],COLEMAN UNIVERSITY,['(858) 966-3970'],CA,8888 BALBOA AVENUE,92123
84,PALM DESERT,8864,"['http://www.collegeofthedesert.edu/pace', 'http://collegeofthedesert.edu/community/pace/pages/pex.aspx']","COLLEGE OF THE DESERT, PACE",['(760) 776-7420'],CA,"72840 HIGHWAY 111, STE. C-101",92260
85,CRESCENT CITY,9766,['http://www.redwoods.cc.ca.us/'],COLLEGE OF THE REDWOODS,['707-465-2306'],CA,883 W. WASHINGTON BOULEVARD,95531
86,NAS LEMOORE,7178,['http://www.ccis.edu/nationwide/lemoore/'],COLUMBIA COLLEGE,['559-998-8570'],CA,826 HANCOCK CIRCLE,93246
87,LONG BEACH,7832,['http://www.devry.edu/'],DEVRY UNIVERSITY,['562-997-5336'],CA,3880 KILROY AIRPORT WAY,90806
88,BURBANK,9302,['http://www.doveds.com'],DOV EDUCATIONAL SERVICES,['(818) 929-4924'],CA,"135 N. VICTORY BLVD, SUITE B",91502
89,LONG BEACH,8718,['http://www.erau.edu/'],EMBRY-RIDDLE AERONAUTICAL UNIVERSITY,['562-627-5870'],CA,"5001 AIRPORT PLAZA DRIVE, SUITE 150",90815
90,ONTARIO,8251,['http://www.everest.edu/'],EVEREST COLLEGE,['909-484-4311'],CA,1819 SOUTH EXCISE AVENUE,91761
91,EL MONTE,8222,['http://www.eznetwork.com/'],EZ NETWORK SYSTEMS / ALISO INT\\\'L,['(626) 715-8777'],CA,"9251 E GARVEY AVE, GOLDEN VISTA PLAZA - SUITE V",91733
92,LOS ALTOS,9826,['http://www.foothill.edu/'],FOOTHILL COLLEGE,['650-949-7230 X5426'],CA,"12345 ELMONTE ROAD, RM 5006",94022
93,FULLERTON,8029,['http://www.fullcoll.edu/'],FULLERTON COLLEGE,['714-732-5533'],CA,321 E. CHAPMAN AVENUE,92832
94,LOS ANGELES,8503,['http://www.geps.org/'],GLOBAL EDUCATION PLACEMENT SERVICES,['(424) 901-8500'],CA,"10850 WILSHIRE BLVD, SUITE 570",90024
95,FULLERTON,8540,['http://www.hui.edu/'],HOPE INTERNATIONAL UNIVERSITY,['714-879-3901 X3561'],CA,2500 E. NUTWOOD AVENUE,92831
96,ARCATA,7814,[],HUMBOLDT STATE UNIVERSITY,['707-826-5661'],CA,1 HARPST STREET,95521
97,LOS ANGELES,8476,['http://www.iau.la/'],INTERNATIONAL AMERICAN UNIVERSITY,['323-938-4428'],CA,"4201 WILSHIRE BLVD, SUITE 610",90010
98,IRVINE,7963,['http://www.ivc.edu/'],IRVINE VALLEY COLLEGE,['949-451-5100'],CA,"5500 IRVINE CENTER, A-304",92618
99,RIVERSIDE,8750,['http://www.lasierra.edu/'],LA SIERRA UNIVERSITY,['951-785-2453'],CA,4500 RIVERWALK PARKWAY,92515
100,SAN DIEGO,7858,['http://www.nu.edu/'],NATIONAL UNIVERSITY,['(858) 541-7951'],CA,9393 LIGHTWAVE AVENUE #233A,92123
101,29 PALMS,7213,[],NATIONAL UNIVERSITY - 29 PALMS BASE,['(760) 830-6887'],CA,"NATIONAL UNIVERSITY BLDG 1526, LEARNING CENTER",92278
102,SAN DIEGO,7250,['http://www.nu.edu/'],NATIONAL UNIVERSITY - MIRAMAR NAS BASE,['(619) 563-7355'],CA,"MCAS MIRAMAR, BUILDING 5305",92145
103,ORANGE,8193,['http://www.nrclc.com/'],NR COMPUTER LEARNING CENTER,['(714) 505-3475'],CA,"1835 W. ORANGEWOOD, SUITE 200",92868
104,ANGWIN,8631,['http://www.puc.edu/'],PACIFIC UNION COLLEGE,['707-965-7080'],CA,ONE ANGWIN AVENUE,94508
105,SAN DIEGO,8793,['http://www.pointloma.edu/'],POINT LOMA NAZARENE UNIVERSITY,['(619) 563-2812'],CA,4007 CAMINO DEL RIO SOUTH,92108
106,WHITTIER,9176,['http://www.riohondo.edu/'],RIO HONDO COLLEGE,['562-692-0921 X3247'],CA,3600 WORKMAN MILL ROAD,90601
107,SACRAMENTO,8325,['http://www.scc.losrios.edu/'],SACRAMENTO CITY COLLEGE,['916-558-2540'],CA,3835 FREEPORT BOULEVARD,95822
108,SACRAMENTO,7897,['http://www.sactestproctoring.com/'],SACRAMENTO TEST PROCTORING SERVICES,['916-591-5003'],CA,"6130 FREEPORT BLVD, SUITE 200A",95822
109,SAN DIEGO,7134,['http://www.sdccd.edu/'],SAN DIEGO CITY COLLEGE,['858-586-1577'],CA,"MARINE CORPS AIR STATION MIRAMAR, BUILDING 5305 MIRAMAR WAY",92145
110,SAN DIEGO,7196,['http://www.sdccd.edu/'],SAN DIEGO CITY COLLEGE,['619-556-4320'],CA,"NAVY BASE, 32ND STREET",92136
111,SAN DIEGO,7862,['http://www.sa.sdsu.edu/testofc/'],SAN DIEGO STATE UNIVERSITY,['619-594-5216'],CA,5500 CAMPANILE DRIVE,92182
112,YUCAIPA,8846,['http://www.simplexunited.com'],SIMPLEX UNITED BUSINESS AND CAREER CENTER,['(909) 795-4979'],CA,34050 COUNTY LINE ROAD,92399
113,ROHNERT PARK,8264,['http://www.sonoma.edu/'],SONOMA STATE UNIVERSITY,['707-664-2880'],CA,1801 E. COTATI AVE.,94928
114,SANTA CLARITA,8730,['http://www.masters.edu/'],THE MASTER'S COLLEGE,['661-259-3540 X3002 or X3003'],CA,21726 PLACERITA CANYON ROAD,91321
115,LOS ALAMITOS,7142,[],TOURO UNIVERSITY WORLDWIDE,['(480) 652-0777'],CA,"10601 CALLE LEE, SUITE 179",90720
116,LOS ANGELES,9239,[],T.T.I.,['323-938-5196'],CA,241 S DETROIT ST,90036
117,SACRAMENTO,8192,['https://myunion.edu/'],UNION INSTITUTE &AMP; UNIVERSITY - SACRAMENTO ACADEMIC CENTER,['(916) 692-7843'],CA,160 PROMENADE CIRCLE STE. 115,95833
118,CHULA VISTA,9437,[],UNITED STATES UNIVERSITY,['619-651-2482'],CA,830 BAY BOULEVARD,92007
119,VANDENBERG AFB,7204,['http://laverne.edu/locations/vafb/'],UNIVERSITY OF LA VERNE,['805-734-6220'],CA,641 UTAH AVE,93437
120,POINT MUGU NAWC,7318,['http://laverne.edu/locations/point-mugu/'],UNIVERSITY OF LA VERNE,['805-986-6900'],CA,BUILDING 162 NORTH MUGU RD.,93042
121,LA VERNE,9353,['http://laverne.edu/locations/laverne/'],UNIVERSITY OF LA VERNE,['909-593-3511'],CA,1950 THIRD STREET,91750
122,IRVINE,8106,['http://laverne.edu/locations/irvine/'],"UNIVERSITY OF LA VERNE, ORANGE COUNTY REGIONAL CAMPUS",['714-505-6936'],CA,"2855 MICHELLE DRIVE, SUITE 250",92606
123,OXNARD,8297,['http://laverne.edu/locations/oxnard/'],"UNIVERSITY OF LA VERNE, VENTURA COUNTY REGIONAL CAMPUS",['(805) 981-6020'],CA,"500 ESPLANADE DRIVE, SUITE 1000",93036
124,TRAVIS AFB,7139,['http://www.umuc.edu/'],UNIVERSITY OF MARYLAND UNIVERSITY COLLEGE,['707-344-6891'],CA,"530 HICKAM AVENUE, ROOM C-111",94535
125,GARDENA,8235,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX,['800-888-1968'],CA,"1515 WEST. 190TH STREET, 2ND FLOOR",90248
126,SAN JOSE,9958,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX,"['408-678-1167', '800-640-0622']",CA,3590 NORTH 1ST STREET,95134
127,BAKERSFIELD,8741,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX,['661-633-0300 X63108'],CA,"4900 CALIFORNIA AVENUE, TOWER A, SUITE 150-A",93309
128,PASADENA,8236,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX,['800-888-1968'],CA,299 NORTH EUCLID,91101
129,LIVERMORE,8353,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX,['925-273-8137'],CA,2481 CONSTITUTION DRIVE,94551
130,LANCASTER,8238,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX,['800-888-1968'],CA,1202 WEST AVENUE J,93534
131,OAKLAND,9926,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX,['510-457-3328'],CA,2100 FRANKLIN STREET; SUITE 350,94612
132,BONITA,9114,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX- BONITA LEARNING CENTER,['(619) 205-4440'],CA,180 OTAY LAKES ROAD,91902
133,FRESNO,8368,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - CENTRAL VALLEY CAMPUS,['(559) 312-1133'],CA,45 E. RIVER PARK PLACE WEST,93720
134,COSTA MESA,8240,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - COSTA MESA CAMPUS,['(800) 888-1968'],CA,"3150 BRISTOL STREET, SUITE 300",92626
135,EL CENTRO,9115,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - EL CENTRO LEARNING CENTER,['(760) 370-9020'],CA,3095 N. IMPERIAL AVENUE,92243
136,FAIRFIELD,8747,['http://www.phoenix.edu'],UNIVERSITY OF PHOENIX - FAIRFIELD LEARNING CENTER,['(707) 639-4305'],CA,"5253 BUSINESS CENTER DR, STE B",94534
137,LA PALMA,9101,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - LA PALMA LEARNING CENTER,['(714) 735-5015'],CA,6 CENTERPOINTE DRIVE SUITE 200,90623
138,SALIDA,7744,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - MODESTO LEARNING CENTER,['(209) 543-3425'],CA,"5330 PIRRONE ROAD, BUILDING B",95368
139,MURRIETA,8963,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - MURRIETA LEARNING CENTER,['(951) 691-5625'],CA,"25240 HANCOCK AVE, SUITE 200",92562
140,ONTARIO,8239,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - ONTARIO LEARNING CENTER,['(800) 888-1968'],CA,3110 E. GUASTI ROAD,91761
141,SACRAMENTO,9975,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - SACRAMENTO VALLEY CAMPUS,['(916) 830-3809'],CA,"2860 GATEWAY OAKS DRIVE, SUITE 100",95833
142,SAN BERNARDINO,8976,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - SAN BERNARDINO,['(909) 677-3009'],CA,"451 E VANDERBILT WAY, SUITE 100",92408
143,SAN MARCOS,9123,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - SAN MARCOS LEARNING CENTER,['(760) 304-7300'],CA,300 RANCHEROS DRIVE,92069
144,SAN DIEGO,8969,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - STONECREST LEARNING CENTER,['(858) 650-3800'],CA,"9645 GRANITE RIDGE DRIVE, STE 200",92123
145,VISALIA,9141,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - VISALIA LEARNING CENTER,['(559) 738-3320'],CA,301 EAST ACEQUIA AVENUE,93291
146,WOODLAND HILLS,9021,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - WOODLAND HILLS LEARNING CENTER,['(800) 888-1968'],CA,"5955 DE SOTO AVE., SUITE 200",91367
147,ROSEMEAD,8490,['http://www.uwest.edu/site/'],UNIVERSITY OF THE WEST,['626-571-8811'],CA,1409 N WALNUT GROVE AVE,91770
148,SAN PEDRO,7348,['http://http://www.victory.edu/'],VICTORY UNIVERSITY - COAST GUARD CENTER,[],CA,1001 S. SEASIDE AVE,90731
149,EL SEGUNDO,7227,['http://www.webster.edu/laafb'],WEBSTER UNIVERSITY,['310-607-8006'],CA,"483 N. AVIATION BOULEVARD, BUILDING 272, ROOM C2-302",90245
150,EDWARDS AFB,7339,['http://webster.edu/'],WEBSTER UNIVERSITY,['661-258-8501'],CA,140 METHUSA AVE,93524
151,SAN JOSE,9273,['http://www.jessup.edu/'],WILLIAM JESSUP UNIVERSITY - SAN JOSE CAMPUS,['(669) 400-7111'],CA,"1190 SARATOGA AVENUE, SUITE 210",95129
152,BEALE AFB,7119,['http://www.yccd.edu/'],YUBA COLLEGE,['530-788-0973'],CA,17849 16TH STREET,95903
153,MARYSVILLE,8083,['http://www.yuba.cc.ca.us/'],YUBA COMMUNITY COLLEGE DISTRICT,['530-741-6700'],CA,2088 NORTH BEALE ROAD,95901
154,COLORADO SPRINGS,8710,['https://www.acuskill.com/'],ACUSKILL,['(719) 232-0932'],CO,5050 EDISON AVENUE SUITE 122,80915
155,FORT LUPTON,8484,['http://www.aims.edu/'],AIMS COMMUNITY COLLEGE,['303-857-4022 X4303'],CO,260 COLLEGE AVENUE,80621
156,LOVELAND,8125,['http://www.aims.edu/'],AIMS COMMUNITY COLLEGE,['970-667-4611'],CO,104 EAST FOURTH STREET,80537
157,GREELEY,8826,['http://www.aims.edu'],AIMS COMMUNITY COLLEGE,['970-339-6299'],CO,"5401 WEST 20TH ST, PO BOX 69",80634
158,LITTLETON,8797,['http://www.arapahoe.edu/'],ARAPAHOE COMMUNITY COLLEGE,['303-797-5993'],CO,5900 SOUTH SANTA FE DRIVE,80160
159,GRAND JUNCTION,8687,['http://www.ccu.edu/'],COLORADO CHRISTIAN UNIVERSITY,['970-242-1811'],CO,"2452 PATTERSON ROAD, SUITE 200",81505
160,GRAND JUNCTION,8062,['http://www.coloradomesa.edu/'],COLORADO MESA UNIVERSITY,['970-255-2751'],CO,"1260 KENNEDY AVENUE, TESTING CENTER",81501
