NoName,Address,City,State,Zip,id,link,name,phone,AUTO_UNIQUE_ID_2017-12-10_leogodin217_dsst-locations,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
10,11066 AUKE LAKE WAY,JUNEAU,AK,99801,7870,http://www.uas.alaska.edu/,UNIVERSITY OF ALASKA SOUTHEAST - JUNEAU,907) 796-6348,11,USCGeocoder,27,1,4.1,,2e91593b-576e-4408-8a3d-7d71c0f88367,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,FeatureClassBased,ReturnAll,,AddressPoint,,,0,58.3829359,-134.6394232,Relaxed
11,7801 E. 32ND AVENUE,ANCHORAGE,AK,99504,7105,http://www.wbu.edu/colleges-in-anchorage/,WAYLAND BAPTIST UNIVERSITY,907-333-2277,12,USCGeocoder,32,1,4.1,,d5c178d6-0216-4140-92fa-3649eb4bccbf,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,0,61.1917771,-149.733915,Exact
12,4900 MERIDIAN ST,NORMAL,AL,35762,9234,http://www.aamu.edu/,ALABAMA A&M; UNIVERSITY,256-372-5635,13,USCGeocoder,211,1,4.1,,c2c3f63f-2714-4af2-b261-1aac25dee7e5,10,POBoxZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,34.792912,-86.569,Exact
13,300 NORTH BEATY STREET,ATHENS,AL,35611,9048,http://www.athens.edu/,ATHENS STATE UNIVERSITY,256-233-6540,14,USCGeocoder,114,1,4.1,,4b255ec2-678d-4316-a834-7e0b237db4bc,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2584.19616933964,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.8059701209347,-86.9674669964956,Exact
14,"ARMY EDUCATION CENTER , BLDG 3222",REDSTONE ARSENAL,AR,35898,7200,http://www.ccis.edu/nationwide/redstone/,COLUMBIA COLLEGE,256-881-6181,15,USCGeocoder,5,1,4.1,,c25fbeea-888d-4463-b2b8-4824f21b21c0,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,34.628936,-86.651129,Exact
15,5345 ATLANTA HIGHWAY,MONTGOMERY,AL,36109,8036,http://www.faulkner.edu/,FAULKNER UNIVERSITY,334-386-7247,16,USCGeocoder,26,1,4.1,,7ebf2ff6-fc15-4186-8670-8ac1e01b8c9c,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,0,32.3841095,-86.2164345,Exact
16,7000 ADVENTIST BOULEVARD,HUNTSVILLE,AL,35896,8321,http://www.oakwood.edu/,OAKWOOD COLLEGE,256-726-7134,17,USCGeocoder,133,1,4.1,,0276765e-3f3c-4ad6-988b-703a1b7dc2cb,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1256.25297191239,LinearInterpolationAddressRange,StreetSegment,97.6331360946746,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.751130823499,-86.6543662661342,Relaxed
17,"SHARP-DEAN SCHOOL OF CONTINUING STUDIES, INC",1910 NOBLE STREET,NO,2101,8812,256-238-0466,"SHARP-DEAN SCHOOL OF CONTINUING STUDIES, INC","ANNISTON, AL   36201",18,USCGeocoder,11,1,4.1,,73b63f5a-3b96-4aa7-8e7d-6aa5bde7f170,99,Unmatchable,Unmatchable,LOCATION_TYPE_UNKNOWN,Unknown,NotAttempted,-1,NotAttempted,Unmatchable,0,FeatureClassBased,ReturnAll,,Unmatchable,,,0,0,0,
18,4000 DAUPHIN STREET,MOBILE,AL,36608,8605,http://www.shc.edu/,SPRING HILL COLLEGE,251-380-3069,19,USCGeocoder,45,1,4.1,,99930ac9-4124-4171-9346-464d9c7c055a,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,0,30.6974331,-88.1367365,Exact
19,"4955 CORPORATE DRIVE, SUITE 200",HUNTSVILLE,AL,35805,8693,http://www.strayer.edu/,STRAYER UNIVERSITY,256-665-9729,20,USCGeocoder,27,1,4.1,,91e3cf4f-8339-40ae-8bfe-e1509b551125,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.6331360946746,FeatureClassBased,ReturnAll,,AddressPoint,,,0,34.732078,-86.6562253,Relaxed
20,"3570 GRANDVIEW PARKWAY, STE 200",BIRMINGHAM,AL,35243,8430,http://www.strayer.edu/,STRAYER UNIVERSITY,205-453-6329,21,USCGeocoder,36,1,4.1,,ab755cc6-7107-4778-ada9-155e39b2c7b8,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,0,33.4386957,-86.7174831,Exact
21,301 SPARKMAN DR. NW WILSON HALL ROOM 202,HUNTSVILLE,AL,35899,9462,http://www.uah.edu/pcs/testing-certification-services,THE UNIVERSITY OF ALABAMA IN HUNTSVILLE,256) 824-6373,22,USCGeocoder,37,1,4.1,,9ce90d46-bf3e-4a8a-9e4a-ab2b83914fba,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,0,34.730919,-86.6413874,Exact
22,100 UNIVERSITY PARK,TROY,AL,36082,9344,http://www.troy.edu/,TROY UNIVERSITY,334-808-6219,23,USCGeocoder,125,1,4.1,,091d2437-b01c-4bf7-83ac-4cb2d70f2fb2,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4266.20144409034,LinearInterpolationAddressRange,StreetSegment,90.0887573964497,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.8003370357243,-85.9638759106211,Relaxed
23,"231 MONTGOMERY STREETWHITLEY HALL, ROOM 431",MONTGOMERY,AL,3507,8627,http://www.troy.edu/,TROY UNIVERSITY,334-241-9532,24,USCGeocoder,198,1,4.1,,3d4a2761-e76b-4b3a-bc0b-940d7e734d3f,11,CityCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Kilometers,ArealInterpolation,421.109,ArealInterpolationGeometricCentroid,City,100,FeatureClassBased,ReturnAll,,CityCentroid,,,0,32.3472436864462,-86.2672601973856,Exact
24,501 UNIVERSITY DRIVE,DOTHAN,AL,36303,9402,http://www.troy.edu/,TROY UNIVERSITY,334-983-6556 X1286,25,USCGeocoder,118,1,4.1,,ab08fbcc-692c-4487-a877-17f9903b322b,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,31.25424,-85.3989,Exact
25,4502 KINGSMAN STREET,FORT RUCKER,RU,36362,7187,http://www.troy.edu/,TROY UNIVERSITY,334-598-2443,26,USCGeocoder,178,1,4.1,,93800cb1-3491-4e55-a3f5-a944d6a28275,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,31.348835,-85.719366,Exact
26,"205 STUDENT SERVICES CENTER, 801 CAMPUS DRIVE",TUSCALOOSA,AL,108,9348,http://www.ua.edu/,UNIVERSITY OF ALABAMA,205-348-6000,27,USCGeocoder,221,1,4.1,,f09f8a54-98a0-41f3-8da0-1800d28239ed,11,CityCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Kilometers,ArealInterpolation,182.217,ArealInterpolationGeometricCentroid,City,100,FeatureClassBased,ReturnAll,,CityCentroid,,,0,33.2330833,-87.5257979,Exact
27,"936 BUILDING, 170 2ND AVENUE SOUTH",BIRMINGHAM,AL,1150,9948,http://www.uab.edu/testing/,UNIVERSITY OF ALABAMA AT BIRMINGHAM,205-934-3704,28,USCGeocoder,366,1,4.1,,b4109f13-cca7-470d-b159-ff5847b628ea,98,Unknown,Success,LOCATION_TYPE_STREET_ADDRESS,Kilometers,ArealInterpolation,135767.387,ArealInterpolationGeometricCentroid,State,100,FeatureClassBased,ReturnAll,,StateCentroid,,,0,32.6350164157569,-86.8093793082489,Exact
28,"1 HARRISON PLAZATHE COMMONS BUILDING, ROOM 214",FLORENCE,AL,35634,8619,http://www.una.edu/,UNIVERSITY OF NORTH ALABAMA,256)765-4773,29,USCGeocoder,213,1,4.1,,941c0f67-9cb1-4812-ad6c-25f7164d5f9b,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,34.799674,-87.675698,Exact
29,"20 NORTH PINE STREET, BUILDING 501",MAXWELL AFB,AF,36112,7354,http://www.wbu.edu/,WAYLAND BAPTIST UNIVERSITY,334-953-3637,30,USCGeocoder,185,1,4.1,,aeafb9bf-1752-4543-bd55-c33684b24f5f,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,32.36658,-86.29998,Exact
30,"1490 VANDENBERG BLVD, SUITE 115",JACKSONVILLE,AR,72099,7125,http://www.asub.edu/academic_programs/support/registrar/,ARKANSAS STATE UNIVERSITY - LRAFB CENTER,501) 988-4151,31,USCGeocoder,151,1,4.1,,0e101421-8fde-4a80-96cf-742fa2f7f6c1,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,110132.732154656,LinearInterpolationAddressRange,StreetSegment,94.0828402366864,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.8881997072355,-92.121105862313,Relaxed
31,"UNIVERSITY TESTING, 1605 COLISEUM DRIVE, DOC BRYAN SUITE 171",RUSSELLVILLE,AR,72801,8587,http://www.atu.edu/,ARKANSAS TECHNICAL UNIVERSITY,479-968-0302,32,USCGeocoder,12,1,4.1,,4b33f2bf-79fe-448e-a981-f94751aacdc0,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,35.282948,-93.138428,Exact
32,"1100 HENDERSON STREET, PO BOX 7650",ARKADELPHIA,AR,71923,8819,http://www.hsu.edu/,HENDERSON STATE UNIVERSITY,870-230-5470,33,USCGeocoder,110,1,4.1,,91f49ca7-6afc-459d-99d6-3c2b03aadc2f,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2807.49861276543,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.1256155016665,-93.059767653565,Exact
33,"2807 AJAX AVENUE, SUITE 200",ROGERS,AR,72758,9667,http://www.jbu.edu/,JOHN BROWN UNIVERSITY,479-631-4665,34,USCGeocoder,31,1,4.1,,cdec69e1-59b5-4619-a8c6-a1713e58832a,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,95.8579881656805,FeatureClassBased,ReturnAll,,AddressPoint,,,0,36.2946332,-94.1634815,Relaxed
34,2000 WEST UNIVERSITY,SILOAM SPRINGS,SP,72761,8066,http://www.jbu.edu/,JOHN BROWN UNIVERSITY,479-524-7103,35,USCGeocoder,109,1,4.1,,c979e26f-3370-421a-92e9-8ccea73cd323,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2978.83052133794,LinearInterpolationAddressRange,StreetSegment,97.0414201183432,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,36.188068762031,-94.5595628090803,Relaxed
35,"1401 S. WALDRON ROAD, SUITE 201",FORT SMITH,SM,72903,8313,http://www.jbu.edu/,JOHN BROWN UNIVERSITY,479) 648-0082,36,USCGeocoder,32,1,4.1,,d5f20a24-3b43-41de-93d6-c5d20cddbfce,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,0,35.3682795,-94.3721103,Exact
36,"8114 CANTRELL ROAD, SUITE 250",LITTLE ROCK,RO,72227,8299,http://www.jbu.edu/,JOHN BROWN UNIVERSITY - LITTLE ROCK CENTER,501-771-9000,37,USCGeocoder,36,1,4.1,,3e8b2933-4849-4c91-9eec-03a9d9e89b2d,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,0,34.7773196,-92.3645681,Exact
37,101 COLLEGE DRIVE,HOT SPRINGS,SP,71913,7930,http://www.npcc.edu/,NATIONAL PARK COLLEGE,501) 760-4376,38,USCGeocoder,125,1,4.1,,4ea20f63-0df2-4259-b8ae-8cbe43e0ff46,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2034.17258237874,LinearInterpolationAddressRange,StreetSegment,98.9940828402367,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.5133314837916,-93.1210883481919,Relaxed
38,ONE COLLEGE DRIVESTUDENT CENTER 306,BENTONVILLE,AR,72712,9798,http://www.nwacc.edu/,NORTHWEST ARKANSAS COMMUNITY COLLEGE,479) 986-4078,39,USCGeocoder,165,1,4.1,,0e7307fa-ea6f-4f7d-97d7-ba95ddf22d5c,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,36.375647,-94.209338,Exact
39,"100 EAST UNIVERSITY STREET, P.O. BOX 9371",MAGNOLIA,AR,71754,8790,http://www.saumag.edu/,SOUTHERN ARKANSAS UNIVERSITY,870-235-4145,40,USCGeocoder,142,1,4.1,,08e2259b-f7f5-4447-bd8a-0f9a3f0eca23,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,857.719039868141,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,33.2889063599756,-93.2369549081375,Relaxed
40,"10825 FINANCIAL CENTRE PARKWAY, SUITE 400",LITTLE ROCK,RO,72211,7949,http://www.strayer.edu/,STRAYER UNIVERSITY,501-708-0629,41,USCGeocoder,64,1,4.1,,9f194f5a-3df2-414a-ae9f-5f44f527ca75,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,0,34.747337,-92.3960374,Exact
41,"TESTING SERVICES, 1435 W WALTON ST, 1 UNIVERSITY OF ARKANSAS",FAYETTEVILLE,AR,72701,8701,http://test.uark.edu/,UNIVERSITY OF ARKANSAS,479-575-3948,42,USCGeocoder,4,1,4.1,,74b72c56-f941-4f16-a847-805dd7c27d68,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,36.05094,-94.1364,Exact
42,"2801 S. UNIVERSITY AVENUE, SSC 315",LITTLE ROCK,RO,72204,9448,http://www.ualr.edu/testing/,UNIVERSITY OF ARKANSAS - LITTLE ROCK CAMPUS,501) 569-3198,43,USCGeocoder,12,1,4.1,,9b855d96-0660-48b5-967e-c5d94340348a,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,0,34.7212472,-92.340394,Exact
43,"201 DONAGHEY AVENUE, TORREYSON WEST 315",CONWAY,AR,72035,7257,http://www.uca.edu/ubulletin/02/204.html,UNIVERSITY OF CENTRAL ARKANSAS,501-450-3209,44,USCGeocoder,117,1,4.1,,71fb44cf-6d21-4a96-946d-80fe56f85de6,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2340.63245927361,LinearInterpolationAddressRange,StreetSegment,97.6331360946746,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,35.0783323552082,-92.4543189935312,Relaxed
44,"1130 E UNIVERSITY AVE, SUITE 204",TEMPE,AZ,85281,9943,http://www.asu.edu/uts/,ARIZONA STATE UNIVERSITY,480) 965-7146,45,USCGeocoder,113,1,4.1,,ba1f973e-7ada-4780-bb1e-b48e2e31132b,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1128.77253689955,LinearInterpolationAddressRange,StreetSegment,94.0828402366864,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,33.4221226443853,-111.921648370423,Relaxed
45,2020 SOUTH AVENUE 8 E,YUMA,AZ,85366,8475,http://www.azwestern.edu/,ARIZONA WESTERN COLLEGE,928-344-7641,46,USCGeocoder,256,1,4.1,,a8d977e6-67f3-4aca-8bd0-aa5a84fdd17d,10,POBoxZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,32.686728,-114.591916,Exact
46,2555 E CAMELBACK ROAD SUITE 250,PHOENIX,AZ,85016,9594,https://www.ashford.edu/,"ASHFORD UNIVERSITY - PHOENIX, AZ",866) 974-5700 X20408,47,USCGeocoder,37,1,4.1,,8d234df6-b7d5-4982-b804-17758ac1d03e,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,0,33.508358,-112.0255712,Exact
47,901 N. COLOMBO AVENUE,SIERRA VISTA,VI,85635,8143,http://www.cochise.edu/,COCHISE COLLEGE,520-515-5447,48,USCGeocoder,21,1,4.1,,e5978aa4-bd35-4fc7-a40f-2802111835ea,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,31.528599,-110.2598,Exact
48,4190 WEST HIGHWAY 80,DOUGLAS,AZ,85607,9345,http://www.cochise.edu/testing,COCHISE COLLEGE,520) 515-5447,49,USCGeocoder,128,1,4.1,,b37b47dc-df6c-4db5-a930-6bfc526c0a49,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6597.47168195166,LinearInterpolationAddressRange,StreetSegment,94.9704142011834,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.3638663261762,-109.692039744338,Relaxed
49,ARMY EDUCATION CENTER,FORT HUACHUCA,HU,85613,7202,http://www.cochise.edu/,COCHISE COLLEGE,520-515-5307,50,USCGeocoder,5,1,4.1,,3be1a071-97c6-487d-8054-383c8e454b4d,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,31.551784,-110.347231,Exact
50,2149 W. DUNLAP AVENUE,PHOENIX,AZ,85021,7837,http://www.devry.edu/,DEVRY UNIVERSITY,602-749-4544,51,USCGeocoder,86,1,4.1,,8e993df7-a136-43c2-9284-37af3107e341,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,60285.6340560978,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,33.5657079322947,-112.104801511524,Exact
