,Address,City,State,Zip,id,link,name,phone
31,"UNIVERSITY TESTING, 1605 COLISEUM DRIVE, DOC BRYAN SUITE 171",RUSSELLVILLE,AR,72801,8587,http://www.atu.edu/,ARKANSAS TECHNICAL UNIVERSITY,479-968-0302
32,"1100 HENDERSON STREET, PO BOX 7650",ARKADELPHIA,AR,71923,8819,http://www.hsu.edu/,HENDERSON STATE UNIVERSITY,870-230-5470
33,"2807 AJAX AVENUE, SUITE 200",ROGERS,AR,72758,9667,http://www.jbu.edu/,JOHN BROWN UNIVERSITY,479-631-4665
34,2000 WEST UNIVERSITY,SILOAM SPRINGS,SP,72761,8066,http://www.jbu.edu/,JOHN BROWN UNIVERSITY,479-524-7103
35,"1401 S. WALDRON ROAD, SUITE 201",FORT SMITH,SM,72903,8313,http://www.jbu.edu/,JOHN BROWN UNIVERSITY,479) 648-0082
36,"8114 CANTRELL ROAD, SUITE 250",LITTLE ROCK,RO,72227,8299,http://www.jbu.edu/,JOHN BROWN UNIVERSITY - LITTLE ROCK CENTER,501-771-9000
37,101 COLLEGE DRIVE,HOT SPRINGS,SP,71913,7930,http://www.npcc.edu/,NATIONAL PARK COLLEGE,501) 760-4376
38,ONE COLLEGE DRIVESTUDENT CENTER 306,BENTONVILLE,AR,72712,9798,http://www.nwacc.edu/,NORTHWEST ARKANSAS COMMUNITY COLLEGE,479) 986-4078
39,"100 EAST UNIVERSITY STREET, P.O. BOX 9371",MAGNOLIA,AR,71754,8790,http://www.saumag.edu/,SOUTHERN ARKANSAS UNIVERSITY,870-235-4145
40,"10825 FINANCIAL CENTRE PARKWAY, SUITE 400",LITTLE ROCK,RO,72211,7949,http://www.strayer.edu/,STRAYER UNIVERSITY,501-708-0629
41,"TESTING SERVICES, 1435 W WALTON ST, 1 UNIVERSITY OF ARKANSAS",FAYETTEVILLE,AR,72701,8701,http://test.uark.edu/,UNIVERSITY OF ARKANSAS,479-575-3948
42,"2801 S. UNIVERSITY AVENUE, SSC 315",LITTLE ROCK,RO,72204,9448,http://www.ualr.edu/testing/,UNIVERSITY OF ARKANSAS - LITTLE ROCK CAMPUS,501) 569-3198
43,"201 DONAGHEY AVENUE, TORREYSON WEST 315",CONWAY,AR,72035,7257,http://www.uca.edu/ubulletin/02/204.html,UNIVERSITY OF CENTRAL ARKANSAS,501-450-3209
44,"1130 E UNIVERSITY AVE, SUITE 204",TEMPE,AZ,85281,9943,http://www.asu.edu/uts/,ARIZONA STATE UNIVERSITY,480) 965-7146
45,2020 SOUTH AVENUE 8 E,YUMA,AZ,85366,8475,http://www.azwestern.edu/,ARIZONA WESTERN COLLEGE,928-344-7641
46,2555 E CAMELBACK ROAD SUITE 250,PHOENIX,AZ,85016,9594,https://www.ashford.edu/,"ASHFORD UNIVERSITY - PHOENIX, AZ",866) 974-5700 X20408
47,901 N. COLOMBO AVENUE,SIERRA VISTA,VI,85635,8143,http://www.cochise.edu/,COCHISE COLLEGE,520-515-5447
48,4190 WEST HIGHWAY 80,DOUGLAS,AZ,85607,9345,http://www.cochise.edu/testing,COCHISE COLLEGE,520) 515-5447
49,ARMY EDUCATION CENTER,FORT HUACHUCA,HU,85613,7202,http://www.cochise.edu/,COCHISE COLLEGE,520-515-5307
50,2149 W. DUNLAP AVENUE,PHOENIX,AZ,85021,7837,http://www.devry.edu/,DEVRY UNIVERSITY,602-749-4544
51,MESA COMMUNITY COLLEGE,1833 W,SO,,9901,http://www.mc.maricopa.edu/,MESA COMMUNITY COLLEGE,"MESA, AZ   85202"
52,9414 NORTH 25TH AVENUE,PHOENIX,AZ,85021,8589,http://www.ottawa.edu/,OTTAWA UNIVERSITY,602) 749-5177
53,1255 NORTH STONE AVENUE,TUCSON,AZ,85709,9280,http://www.pima.edu/,PIMA COMMUNITY COLLEGE,520-206-6143
54,5355 E. GRANITE STREET,DAVIS MONTHAN AFB,MO,3009,7152,http://www.asub.edu,PIMA COMMUNITY COLLEGE,520) 206-4866
55,12535 W SMOKEY DR,SURPRISE,AZ,85378,8881,http://www.riosalado.edu/,RIO SALADO COMMUNITY COLLEGE - LIFE LONG LEARNING CENTER,480) 377-4290
56,"56TH MISSION SUPPORT CENTER (BUILDING 1150) ROOM 3138,7383 NORTH LITCHFIELD ROAD",LUKE AFB,AF,85309,7153,http://www.riosalado.edu/,RIO SALADO COMMUNITY COLLEGE - LUKE AIRFORCE BASE,480) 377-4011
57,2323 WEST 14TH STREET,TEMPE,AZ,85281,9931,http://www.riosalado.edu/,RIO SALADO COMMUNITY COLLEGE - TEMPE CAMPUS,480) 517-8560
58,"220 W. 6TH STREET, ROOM B116",TUCSON,AZ,85719,9350,http://www.arizona.edu/,UNIVERSITY OF ARIZONA - TESTING CENTER,520) 621-7589
59,THIS TESTING LOCATION ONLY ACCEPTS CREDIT CARD FOR THE ADMINISTRATION/PROCTOR FEE PAYMENT. THIS FEE IS NON-REFUNDABLE. 1625 W. FOUNTAINHEAD PARKWAY,TEMPE,AZ,85282,8231,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - MAIN CAMPUS,480) 804-7600
60,"THIS TESTING LOCATION ONLY ACCEPTS CREDIT CARD FOR THE ADMINISTRATION/PROCTOR FEE PAYMENT. THIS FEE IS NON-REFUNDABLE.2550 WEST UNION HILLS DRIVE, SUITE #100",PHOENIX,AZ,85027,9057,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - NORTHWEST LEARNING CENTER,480) 804-7600
61,"THIS TESTING LOCATION ONLY ACCEPTS CREDIT CARD FOR THE ADMINISTRATION/PROCTOR FEE PAYMENT. THIS FEE IS NON-REFUNDABLE.9520 WEST PALM LANE, SUITE #150",PHOENIX,AZ,85037,9106,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX- WEST VALLEY LEARNING CENTER,480) 804-7600
62,300 S CRAYCROFT RD,TUCSON,AZ,85711,8248,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - WILLIAMS CENTRE LEARNING CENTER,520) 239-5225
63,899 E. PLAZA CIRCLE,YUMA,AZ,85365,8978,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - YUMA LEARNING CENTER,928) 210-1472
64,"2702 NORTH 3RD STREET, STE 1050",PHOENIX,AZ,85004,8214,http://www.wbu.edu/colleges-in-phoenix/,WAYLAND BAPTIST UNIVERSITY,602-279-1011
65,"140 METHUSA AVE., BLDG 2453",EDWARDS AFB,AF,93524,9204,http://www.amu.apus.edu,AMERICAN PUBLIC UNIVERSITY SYSTEM - EDWARDS AFB NTC,661) 524-4431
66,400 CORPORATE POINTE,CULVER CITY,CI,7615,8704,http://www.antiochla.edu/,ANTIOCH UNIVERSITY - LOS ANGELES,310-578-1080 X206
67,8620 SPECTRUM CENTER BLVD,SAN DIEGO,DI,92123,9182,http://www.ashford.edu,ASHFORD UNIVERSITY - SAN DIEGO,866) 974-5700
68,"LEARNING ENRICHMENT CENTER, 901 E. ALOSTA AVENUE",AZUSA,CA,91702,7946,http://www.apu.edu/,AZUSA PACIFIC UNIVERSITY,626-815-3849
69,2700 BARSTOW ROAD,BARSTOW,CA,92311,9053,http://www.barstow.cc.edu/,BARSTOW COMMUNITY COLLEGE,760-252-2411 X7373
70,FORT ERWINBARSTOW ROAD BUILDING 285,FORT IRWIN,IR,5060,7138,http://www.barstow.cc.edu/,BARSTOW COMMUNITY COLLEGE - FORT IRWIN CAMPUS,760) 380-3905
71,7460 MISSION VALLEY ROAD,SAN DIEGO,DI,92108,9300,http://www.brandman.edu/,BRANDMAN UNIVERSITY,619-296-8660
72,"40015 SIERRA HIGHWAY, B160",PALMDALE,CA,93550,9836,http://www.brandman.edu,BRANDMAN UNIVERSITY,661-267-2001
73,"MONTEREY, CA   93940",831,,3738,7338,http://www.brandman.edu/monterey/,BRANDMAN UNIVERSITY - MONTEREY CAMPUS,831) 647-3726
74,"MONTEREY, CA   93940",831,,3738,9655,http://www.brandman.edu,BRANDMAN UNIVERSITY - MONTEREY CAMPUS,831) 647-3736
75,1000 EAST VICTORIA STREET,CARSON,CA,90747,9078,http://www.csudh.edu/,CALIFORNIA STATE UNIVERSITY - DOMINGUEZ HILLS,310-243-3909
76,CALIFORNIA STATE UNIVERSITY - FRESNO CAMPUS,PLEASE FOLLOW THE LINK BELOW TO REGISTERFAMILY ,FO,,9498,http://fresnostate.edu/studentaffairs/examination/,CALIFORNIA STATE UNIVERSITY - FRESNO CAMPUS,"FRESNO, CA   93740"
77,"3335 BUCHANAN STREET, BUILDING 152",SAN DIEGO,DI,92136,7229,http://www.ctcd.edu/,CENTRAL TEXAS COLLEGE,800-784-5470
78,"NAVY CAMPUS PACIFIC, 1000 ROE STREET, BUILDING 2005",SAN DIEGO,DI,7024,7188,http://www.ctcd.edu/,CENTRAL TEXAS COLLEGE,800-784-5470
79,"5405 GARDEN GROVE BLVD, SUITE 100",WESTMINSTER,CA,92683,7313,http://military.coastline.edu/,COASTLINE COMMUNITY COLLEGE,714-241-4967
80,BLDG 1331 BOX 555020A STREET &AMP; 12TH STREET BLDG. 1331,CAMP PENDLETON,PE,92055,7252,http://military.coastline.edu/,COASTLINE COMMUNITY COLLEGE,619-375-8377
81,COASTLINE COMMUNITY COLLEGE,140 SYLVESTER RD,SY,103,7228,619-726-3664,COASTLINE COMMUNITY COLLEGE,"SAN DIEGO, CA   92106"
82,8888 BALBOA AVENUE,SAN DIEGO,DI,92123,8734,http://www.coleman.edu/,COLEMAN UNIVERSITY,858) 966-3970
83,"PALM DESERT, CA   92260",760,,7420,8864,http://collegeofthedesert.edu/community/pace/pages/pex.aspx,"COLLEGE OF THE DESERT, PACE",http://www.collegeofthedesert.edu/pace
84,883 W. WASHINGTON BOULEVARD,CRESCENT CITY,CI,8361,9766,http://www.redwoods.cc.ca.us/,COLLEGE OF THE REDWOODS,707-465-2306
85,826 HANCOCK CIRCLE,NAS LEMOORE,LE,5009,7178,http://www.ccis.edu/nationwide/lemoore/,COLUMBIA COLLEGE,559-998-8570
86,3880 KILROY AIRPORT WAY,LONG BEACH,BE,90806,7832,http://www.devry.edu/,DEVRY UNIVERSITY,562-997-5336
87,"BURBANK, CA   91502",818,,4924,9302,http://www.doveds.com,DOV EDUCATIONAL SERVICES,TEST@DOVEDS.COM.
88,"5001 AIRPORT PLAZA DRIVE, SUITE 150",LONG BEACH,BE,90815,8718,http://www.erau.edu/,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY,562-627-5870
89,1819 SOUTH EXCISE AVENUE,ONTARIO,CA,8525,8251,http://www.everest.edu/,EVEREST COLLEGE,909-484-4311
90,"9251 E GARVEY AVE, GOLDEN VISTA PLAZA - SUITE V",EL MONTE,MO,91733,8222,http://www.eznetwork.com/,EZ NETWORK SYSTEMS / ALISO INT\\\'L,626) 715-8777
91,"12345 ELMONTE ROAD, RM 5006",LOS ALTOS,AL,94022,9826,http://www.foothill.edu/,FOOTHILL COLLEGE,650-949-7230 X5426
92,321 E. CHAPMAN AVENUE,FULLERTON,CA,92832,8029,http://www.fullcoll.edu/,FULLERTON COLLEGE,714-732-5533
93,"10850 WILSHIRE BLVD, SUITE 570",LOS ANGELES,AN,90024,8503,http://www.geps.org/,GLOBAL EDUCATION PLACEMENT SERVICES,424) 901-8500
94,2500 E. NUTWOOD AVENUE,FULLERTON,CA,92831,8540,http://www.hui.edu/,HOPE INTERNATIONAL UNIVERSITY,714-879-3901 X3561
95,HUMBOLDT STATE UNIVERSITY,1 HARPST STREET,HA,,7814,707-826-5661,HUMBOLDT STATE UNIVERSITY,"ARCATA, CA   95521"
96,"4201 WILSHIRE BLVD, SUITE 610",LOS ANGELES,AN,90010,8476,http://www.iau.la/,INTERNATIONAL AMERICAN UNIVERSITY,323-938-4428
97,"5500 IRVINE CENTER, A-304",IRVINE,CA,92618,7963,http://www.ivc.edu/,IRVINE VALLEY COLLEGE,949-451-5100
98,4500 RIVERWALK PARKWAY,RIVERSIDE,CA,92515,8750,http://www.lasierra.edu/,LA SIERRA UNIVERSITY,951-785-2453
99,9393 LIGHTWAVE AVENUE #233A,SAN DIEGO,DI,92123,7858,http://www.nu.edu/,NATIONAL UNIVERSITY,858) 541-7951
100,NATIONAL UNIVERSITY - 29 PALMS BASE,NATIONAL UNIVERSITY BLDG 1526,UN,,7213,760) 830-6887,NATIONAL UNIVERSITY - 29 PALMS BASE,"29 PALMS, CA   92278"
101,"MCAS MIRAMAR, BUILDING 5305",SAN DIEGO,DI,92145,7250,http://www.nu.edu/,NATIONAL UNIVERSITY - MIRAMAR NAS BASE,619) 563-7355
102,"1835 W. ORANGEWOOD, SUITE 200",ORANGE,CA,92868,8193,http://www.nrclc.com/,NR COMPUTER LEARNING CENTER,714) 505-3475
103,ONE ANGWIN AVENUE,ANGWIN,CA,94508,8631,http://www.puc.edu/,PACIFIC UNION COLLEGE,707-965-7080
104,4007 CAMINO DEL RIO SOUTH,SAN DIEGO,DI,92108,8793,http://www.pointloma.edu/,POINT LOMA NAZARENE UNIVERSITY,619) 563-2812
105,3600 WORKMAN MILL ROAD,WHITTIER,CA,90601,9176,http://www.riohondo.edu/,RIO HONDO COLLEGE,562-692-0921 X3247
106,3835 FREEPORT BOULEVARD,SACRAMENTO,CA,95822,8325,http://www.scc.losrios.edu/,SACRAMENTO CITY COLLEGE,916-558-2540
107,"6130 FREEPORT BLVD, SUITE 200A",SACRAMENTO,CA,95822,7897,http://www.sactestproctoring.com/,SACRAMENTO TEST PROCTORING SERVICES,916-591-5003
108,"NAVY BASE, 32ND STREET",SAN DIEGO,DI,92136,7196,http://www.sdccd.edu/,SAN DIEGO CITY COLLEGE,619-556-4320
109,"MARINE CORPS AIR STATION MIRAMAR, BUILDING 5305 MIRAMAR WAY",SAN DIEGO,DI,92145,7134,http://www.sdccd.edu/,SAN DIEGO CITY COLLEGE,858-586-1577
110,5500 CAMPANILE DRIVE,SAN DIEGO,DI,7449,7862,http://www.sa.sdsu.edu/testofc/,SAN DIEGO STATE UNIVERSITY,619-594-5216
111,34050 COUNTY LINE ROAD,YUCAIPA,CA,92399,8846,http://www.simplexunited.com,SIMPLEX UNITED BUSINESS AND CAREER CENTER,909) 795-4979
112,1801 E. COTATI AVE.,ROHNERT PARK,PA,94928,8264,http://www.sonoma.edu/,SONOMA STATE UNIVERSITY,707-664-2880
113,21726 PLACERITA CANYON ROAD,SANTA CLARITA,CL,91321,8730,http://www.masters.edu/,THE MASTER'S COLLEGE,661-259-3540 X3002 or X3003
114,TOURO UNIVERSITY WORLDWIDE,10601 CALLE LEE,CA,179,7142,480) 652-0777,TOURO UNIVERSITY WORLDWIDE,"LOS ALAMITOS, CA   90720"
115,T.T.I.,241 S DETROIT ST,DE,,9239,323-938-5196,T.T.I.,"LOS ANGELES, CA   90036"
116,160 PROMENADE CIRCLE STE. 115,SACRAMENTO,CA,95833,8192,https://myunion.edu/,UNION INSTITUTE &AMP; UNIVERSITY - SACRAMENTO ACADEMIC CENTER,916) 692-7843
117,UNITED STATES UNIVERSITY,830 BAY BOULEVARD,BA,,9437,619-651-2482,UNITED STATES UNIVERSITY,"CHULA VISTA, CA   92007"
118,"4119 BROAD STREET, STE. 200",SAN LUIS OBISPO,LU,93401,9269,http://laverne.edu/locations/san-luis-obispo/,UNIVERSITY OF LA VERNE,805-788-6200
119,1950 THIRD STREET,LA VERNE,VE,91750,9353,http://laverne.edu/locations/laverne/,UNIVERSITY OF LA VERNE,909-593-3511
120,BUILDING 162 NORTH MUGU RD.,POINT MUGU NAWC,MU,93042,7318,http://laverne.edu/locations/point-mugu/,UNIVERSITY OF LA VERNE,805-986-6900
121,"641 UTAH AVEBLDG. 13640, SUITE 230",VANDENBERG AFB,AF,93437,7204,http://laverne.edu/locations/vafb/,UNIVERSITY OF LA VERNE,805-734-6220
122,"2855 MICHELLE DRIVE, SUITE 250",IRVINE,CA,92606,8106,http://laverne.edu/locations/irvine/,"UNIVERSITY OF LA VERNE, ORANGE COUNTY REGIONAL CAMPUS",714-505-6936
123,"500 ESPLANADE DRIVE, SUITE 1000",OXNARD,CA,93036,8297,http://laverne.edu/locations/oxnard/,"UNIVERSITY OF LA VERNE, VENTURA COUNTY REGIONAL CAMPUS",805) 981-6020
124,"530 HICKAM AVENUE, ROOM C-111",TRAVIS AFB,AF,2751,7139,http://www.umuc.edu/,UNIVERSITY OF MARYLAND UNIVERSITY COLLEGE,707-344-6891
125,"1515 WEST. 190TH STREET, 2ND FLOOR",GARDENA,CA,90248,8235,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX,800-888-1968
126,"SAN JOSE, CA   95134",408,,1167,9958,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX,800-640-0622
127,2100 FRANKLIN STREET; SUITE 350,OAKLAND,CA,94612,9926,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX,510-457-3328
128,1202 WEST AVENUE J,LANCASTER,CA,93534,8238,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX,800-888-1968
129,"4900 CALIFORNIA AVENUE, TOWER A, SUITE 150-A",BAKERSFIELD,CA,93309,8741,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX,661-633-0300 X63108
130,299 NORTH EUCLID,PASADENA,CA,91101,8236,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX,800-888-1968
131,2481 CONSTITUTION DRIVE,LIVERMORE,CA,94551,8353,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX,925-273-8137
132,180 OTAY LAKES ROAD,BONITA,CA,91902,9114,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX- BONITA LEARNING CENTER,619) 205-4440
133,"45 E. RIVER PARK PLACE WESTSUITE 201, SECOND FLOOR",FRESNO,CA,93720,8368,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - CENTRAL VALLEY CAMPUS,559) 312-1133
134,"3150 BRISTOL STREET, SUITE 300",COSTA MESA,ME,92626,8240,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - COSTA MESA CAMPUS,800) 888-1968
135,3095 N. IMPERIAL AVENUE,EL CENTRO,CE,92243,9115,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - EL CENTRO LEARNING CENTER,760) 370-9020
136,"5253 BUSINESS CENTER DR, STE B",FAIRFIELD,CA,94534,8747,http://www.phoenix.edu,UNIVERSITY OF PHOENIX - FAIRFIELD LEARNING CENTER,707) 639-4305
137,6 CENTERPOINTE DRIVE SUITE 200,LA PALMA,PA,90623,9101,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - LA PALMA LEARNING CENTER,714) 735-5015
138,"5330 PIRRONE ROAD, BUILDING B",SALIDA,CA,95368,7744,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - MODESTO LEARNING CENTER,209) 543-3425
139,"25240 HANCOCK AVE, SUITE 200",MURRIETA,CA,92562,8963,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - MURRIETA LEARNING CENTER,951) 691-5625
140,3110 E. GUASTI ROAD,ONTARIO,CA,91761,8239,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - ONTARIO LEARNING CENTER,800) 888-1968
141,"2860 GATEWAY OAKS DRIVE, SUITE 100",SACRAMENTO,CA,95833,9975,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - SACRAMENTO VALLEY CAMPUS,916) 830-3809
142,"451 E VANDERBILT WAY, SUITE 100",SAN BERNARDINO,BE,92408,8976,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - SAN BERNARDINO,909) 677-3009
143,300 RANCHEROS DRIVE,SAN MARCOS,MA,92069,9123,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - SAN MARCOS LEARNING CENTER,760) 304-7300
144,"9645 GRANITE RIDGE DRIVE, STE 200",SAN DIEGO,DI,92123,8969,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - STONECREST LEARNING CENTER,858) 650-3800
145,301 EAST ACEQUIA AVENUE,VISALIA,CA,93291,9141,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - VISALIA LEARNING CENTER,559) 738-3320
146,"5955 DE SOTO AVE., SUITE 200",WOODLAND HILLS,HI,91367,9021,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - WOODLAND HILLS LEARNING CENTER,800) 888-1968
147,1409 N WALNUT GROVE AVE,ROSEMEAD,CA,91770,8490,http://www.uwest.edu/site/,UNIVERSITY OF THE WEST,626-571-8811
148,VICTORY UNIVERSITY - COAST GUARD CENTER,1001 S,SE,,7348,http://http://www.victory.edu/,VICTORY UNIVERSITY - COAST GUARD CENTER,"SAN PEDRO, CA   90731-0208"
149,140 METHUSA AVE,EDWARDS AFB,AF,93524,7339,http://webster.edu/,WEBSTER UNIVERSITY,661-258-8501
150,"483 N. AVIATION BOULEVARD, BUILDING 272, ROOM C2-302",EL SEGUNDO,SE,90245,7227,http://www.webster.edu/laafb,WEBSTER UNIVERSITY,310-607-8006
151,"1190 SARATOGA AVENUE, SUITE 210",SAN JOSE,JO,95129,9273,http://www.jessup.edu/,WILLIAM JESSUP UNIVERSITY - SAN JOSE CAMPUS,669) 400-7111
152,17849 16TH STREET,BEALE AFB,AF,95903,7119,http://www.yccd.edu/,YUBA COLLEGE,530-788-0973
153,2088 NORTH BEALE ROAD,MARYSVILLE,CA,95901,8083,http://www.yuba.cc.ca.us/,YUBA COMMUNITY COLLEGE DISTRICT,530-741-6700
154,5050 EDISON AVENUE SUITE 122,COLORADO SPRINGS,SP,80915,8710,https://www.acuskill.com/,ACUSKILL,719) 232-0932
155,"5401 WEST 20TH ST, PO BOX 69",GREELEY,CO,80634,8826,http://www.aims.edu,AIMS COMMUNITY COLLEGE,970-339-6299
156,104 EAST FOURTH STREET,LOVELAND,CO,80537,8125,http://www.aims.edu/,AIMS COMMUNITY COLLEGE,970-667-4611
157,260 COLLEGE AVENUE,FORT LUPTON,LU,80621,8484,http://www.aims.edu/,AIMS COMMUNITY COLLEGE,303-857-4022 X4303
158,5900 SOUTH SANTA FE DRIVE,LITTLETON,CO,9002,8797,http://www.arapahoe.edu/,ARAPAHOE COMMUNITY COLLEGE,303-797-5993
159,"2452 PATTERSON ROAD, SUITE 200",GRAND JUNCTION,JU,81505,8687,http://www.ccu.edu/,COLORADO CHRISTIAN UNIVERSITY,970-242-1811
160,"1260 KENNEDY AVENUE, TESTING CENTER",GRAND JUNCTION,JU,81501,8062,http://www.coloradomesa.edu/,COLORADO MESA UNIVERSITY,970-255-2751
161,500 KENNEDY DRIVE,RANGELY,CO,81648,7752,http://www.cncc.edu/,COLORADO NORTHWESTERN COMMUNITY COLLEGE,970) 675-3205
